base,probe,time
7f4cc43ab040,7f4c84cfba00,264
7f4cc43ab040,7f4c8d2d1fc0,270
7f4cc43ab040,7f4cc271d9c0,264
7f4cc43ab040,7f4c519d8000,274
7f4cc43ab040,7f4c74d711c0,264
7f4cc43ab040,7f4cc10caf40,260
7f4cc43ab040,7f4c7a035640,264
7f4cc43ab040,7f4c906127c0,260
7f4c83703f80,7f4c60ccaa40,254
7f4c83703f80,7f4cbe960500,258
7f4c83703f80,7f4c5b5e2400,254
7f4c83703f80,7f4ca13a02c0,270
7f4c83703f80,7f4c7bb6f600,260
7f4c83703f80,7f4cafd9fa40,252
7f4c83703f80,7f4c6b1bbb40,252
7f4c83703f80,7f4c84cfba00,260
7f4c83703f80,7f4c8d2d1fc0,264
7f4c83703f80,7f4cc271d9c0,252
7f4c83703f80,7f4c519d8000,266
7f4c83703f80,7f4c74d711c0,256
7f4c83703f80,7f4cc10caf40,260
7f4c83703f80,7f4c7a035640,254
7f4c83703f80,7f4c906127c0,268
7f4c83703f80,7f4cc43ab040,264
7f4c77cb3d00,7f4c60ccaa40,256
7f4c77cb3d00,7f4cbe960500,258
7f4c77cb3d00,7f4c5b5e2400,258
7f4c77cb3d00,7f4ca13a02c0,262
7f4c77cb3d00,7f4c7bb6f600,260
7f4c77cb3d00,7f4cafd9fa40,256
7f4c77cb3d00,7f4c6b1bbb40,258
7f4c77cb3d00,7f4c84cfba00,260
7f4c77cb3d00,7f4c8d2d1fc0,268
7f4c77cb3d00,7f4cc271d9c0,258
7f4c77cb3d00,7f4c519d8000,426
7f4c8bba41c0,7f4c60ccaa40,262
7f4c8bba41c0,7f4cbe960500,270
7f4c8bba41c0,7f4c5b5e2400,284
7f4c8bba41c0,7f4ca13a02c0,254
7f4c8bba41c0,7f4c7bb6f600,266
7f4c8bba41c0,7f4cafd9fa40,254
7f4c8bba41c0,7f4c6b1bbb40,412
7f4c480da880,7f4c60ccaa40,264
7f4c480da880,7f4cbe960500,266
7f4c480da880,7f4c5b5e2400,260
7f4c480da880,7f4ca13a02c0,254
7f4c480da880,7f4c7bb6f600,254
7f4c480da880,7f4cafd9fa40,260
7f4c480da880,7f4c6b1bbb40,260
7f4c480da880,7f4c84cfba00,266
7f4c480da880,7f4c8d2d1fc0,260
7f4c480da880,7f4cc271d9c0,260
7f4c480da880,7f4c519d8000,258
7f4c480da880,7f4c74d711c0,272
7f4c480da880,7f4cc10caf40,252
7f4c480da880,7f4c7a035640,424
7f4c63c4f4c0,7f4c60ccaa40,270
7f4c63c4f4c0,7f4cbe960500,268
7f4c63c4f4c0,7f4c5b5e2400,260
7f4c63c4f4c0,7f4ca13a02c0,256
7f4c63c4f4c0,7f4c7bb6f600,254
7f4c63c4f4c0,7f4cafd9fa40,260
7f4c63c4f4c0,7f4c6b1bbb40,260
7f4c63c4f4c0,7f4c84cfba00,268
7f4c63c4f4c0,7f4c8d2d1fc0,260
7f4c63c4f4c0,7f4cc271d9c0,268
7f4c63c4f4c0,7f4c519d8000,258
7f4c63c4f4c0,7f4c74d711c0,266
7f4c63c4f4c0,7f4cc10caf40,256
7f4c63c4f4c0,7f4c7a035640,264
